year,exports_kazakhstan_to_china_usd,imports_kazakhstan_from_china_usd,total_bilateral_trade_usd,trade_balance_usd,trade_balance_ratio,ores_metals_exports_usd,ores_metals_export_share,post_bri,gdp_kazakhstan_current_usd
2000,672548600.0,150919400.0,823468000.0,521629200.0,0.633454,47784100.0,0.071049,0,18291990662.04
2001,646650700.0,171983900.0,818634600.0,474666800.0,0.579827,300868800.0,0.465273,0,22152689179.88
2002,1018679900.0,313027400.0,1331707300.0,705652500.0,0.529886,561705500.0,0.551405,0,24636598527.44
2003,1653081000.0,523702900.0,2176783900.0,1129378100.0,0.518829,777229800.0,0.47017,0,30833692900.11
2004,1966911131.0,758232855.0,2725143986.0,1208678276.0,0.443528,791435855.0,0.402375,0,43151647002.61
2005,2422506647.0,1251837761.0,3674344408.0,1170668886.0,0.318606,1224287441.0,0.50538,0,57123671733.9
2006,3592514164.0,1924942799.0,5517456963.0,1667571365.0,0.302236,1550757172.0,0.431663,0,81003864630.02
2007,5635914311.0,3507275770.0,9143190081.0,2128638541.0,0.232811,2037169815.0,0.361462,0,104849915058.38
2008,7676608963.0,4565058240.0,12241667203.0,3111550723.0,0.254177,2174683810.0,0.283287,0,133441648851.98
2009,5888592501.0,3569528097.0,9458120598.0,2319064404.0,0.245193,1834702367.0,0.311569,0,115308686941.38
2010,10122070037.0,3964519584.0,14086589621.0,6157550453.0,0.437121,3016195399.0,0.297982,0,148047348240.64
2011,16291513411.0,5021097548.0,21312610959.0,11270415863.0,0.528814,4425537809.0,0.271647,0,192626464617.07
2012,16484409000.0,7497716200.0,23982125200.0,8986692800.0,0.374725,4746079100.0,0.287913,0,207998568865.79
2013,14373748042.0,8364465531.0,22738213573.0,6009282511.0,0.264281,3362165154.0,0.23391,0,236634603409.09
2014,9799418417.0,7357220265.0,17156638682.0,2442198152.0,0.142347,2750695992.0,0.2807,1,221415613595.47
2015,5480137487.0,5087800821.0,10567938308.0,392336666.0,0.037125,1524713149.0,0.278225,1,184388404706.04
2016,4214925896.0,3665652488.0,7880578384.0,549273408.0,0.0697,1559461618.0,0.369986,1,137278320084.17
2017,5797975617.54,4694998733.36,10492974350.9,1102976884.18,0.105116,2598718574.22,0.448211,1,166805788827.23
2018,6307476192.48,5384163379.5,11691639571.98,923312812.98,0.078972,2528871318.35,0.400932,1,179339977690.48
2019,8003866693.43,6788625828.84,14792492522.27,1215240864.59,0.082153,3368318993.81,0.420836,1,181667184854.5
2020,6836749155.66,1955285758.04,8792034913.7,4881463397.62,0.555214,2053594633.82,0.300376,1,171082365861.42
2021,6851902440.5,2424023172.95,9275925613.45,4427879267.55,0.477352,2272636399.28,0.33168,1,197112255360.61
2022,10461770663.88,3575000793.04,14036771456.92,6886769870.84,0.490623,2893847971.03,0.276612,1,225496328925.49
2023,14758685491.52,16772250496.13,31530935987.65,-2013565004.61,-0.06386,6039364363.84,0.409207,1,261840101059.92
