year,exports_kazakhstan_to_china_usd,imports_kazakhstan_from_china_usd,trade_balance_usd,trade_balance_ratio,minerals_narrow,minerals_broad,total_comtrade,oil_exports,brent_annual_mean,copper_annual_mean,kz_gdp,cn_gdp,kzt_usd,kz_cpi,cn_cpi,bri_flows_annual,bri_flows_cumulative,bri_intensity,post_bri_2013,years_since_announcement,minerals_narrow_share,minerals_broad_share,log_minerals_narrow,log_minerals_broad,log_exports_kazakhstan_to_china_usd,log_imports_kazakhstan_from_china_usd,log_brent_annual_mean,log_kz_gdp,log_cn_gdp,post_bri_x_minerals_narrow,bri_intensity_x_minerals_narrow
2000,672548600.0,150919400.0,521629200.0,0.633454,47784100.0,47784100.0,672548600.0,369901730.00000006,28.27291590909083,1813.4691666666668,66179326672.5077,2825096197799.54,142.133333333333,43.7893049656122,80.9700222903011,2000000.0,2000000.0,14.508658238524095,0,0,0.07104928922608715,0.07104928922608715,17.682203527070264,17.682203527070264,20.326584935973962,18.832256484062313,3.376662716824651,24.915633965204194,28.669563532265606,0.0,693283176.1354592
2001,646650700.0,171983900.0,474666800.0,0.579827,300868800.0,300868800.0,646650700.0,355657885.0,24.421571535889168,1578.2883333333332,75113535772.261,3059936242478.58,146.735833333333,47.4475238316714,81.5522984563009,0.0,2000000.0,14.508658238524095,0,0,0.4652725188420889,0.4652725188420889,19.52218485061471,19.52218485061471,20.287316831873497,18.962911431559874,3.2355980866626766,25.042266616123776,28.749415195884456,0.0,4365202593.834858
2002,1018679900.0,313027400.0,705652500.0,0.529886,561705500.0,561705500.0,1018679900.0,560273945.0,24.969477707773333,1559.4775,82474662277.6485,3342778183071.46,153.279166666667,50.2169999848363,80.955359361403,172120816.44385847,174120816.44385847,18.975259969352827,0,0,0.551405304060677,0.551405304060677,20.14648825093877,20.14648825093877,20.741773411317553,19.561801287803743,3.256921914104432,25.135756959207548,28.837823368509216,0.0,10658507888.715315
2003,1653081000.0,523702900.0,1129378100.0,0.518829,777229800.0,777229800.0,1653081000.0,909194550.0,28.8513905828475,1779.1448333333335,90144805869.7482,3681006926650.74,149.575833333333,53.4500799677343,81.8682148167155,63700.0,174184516.44385847,18.975625740383755,0,0,0.4701704272204447,0.4701704272204447,20.47124661878803,20.47124661878803,21.22590665700456,20.076435098665346,3.396231424443565,25.22468316840504,28.93420745205437,0.0,14748421799.073318
2004,1966911131.0,758232855.0,1208678276.0,0.443528,791435855.0,791435855.0,1966911131.0,1081801122.0500002,38.300679681746665,2865.8849166666664,98798707234.4777,4053944733453.66,136.035,57.1285435425156,84.9993772047539,1413700.0,175598216.44385847,18.983709087882893,0,0,0.40237499423658507,0.40237499423658507,20.48935939294006,20.48935939294006,21.3997301958716,20.44650109432022,3.671241813426597,25.31635035694335,29.0307115312689,0.0,15024388033.039867
2005,2422506647.0,1251837761.0,1170668886.0,0.318606,1224287441.0,1224287441.0,2422506647.0,1332378655.85,54.434130411255005,3678.8764166666665,108382181835.458,4518455387849.41,132.88,61.4588867381441,86.5093181065058,1298063700.0,1473661916.4438584,21.111016240391944,0,0,0.5053804258973412,0.5053804258973412,20.925624831701658,20.925624831701658,21.608068645997875,20.947878518160614,4.015195476463865,25.408929538229394,29.13919132301835,0.0,25845952049.858894
2006,3592514164.0,1924942799.0,1667571365.0,0.302236,1550757172.0,1550757172.0,3592514164.0,1975882790.2,65.39138122067332,6722.1345,119979075291.852,5091154930758.42,126.089430555555,66.8191426897729,87.9362296125358,1912943845.32916,3386605761.773019,21.94309400683377,0,0,0.4316634816752806,0.4316634816752806,21.16200914731059,21.16200914731059,22.002118118846354,21.378162089958966,4.195567247164049,25.510583191955895,29.258525822669807,0.0,34028410406.96769
2007,5635914311.0,3507275770.0,2128638541.0,0.232811,2037169815.0,2037169815.0,5635914311.0,3099752871.05,72.6961705259525,7118.226,130657212992.82,5811552614974.09,122.554166666667,74.0669056526254,92.1719134940607,41687810.40888374,3428293572.1819024,21.955328473799753,0,0,0.36146216968272854,0.36146216968272854,21.434827336450272,21.434827336450272,22.452425227176708,21.97810543945832,4.299950837546156,25.595843035906665,29.39086888258535,0.0,44726732445.23488
2008,7676608963.0,4565058240.0,3111550723.0,0.254177,2174683810.0,2174683810.0,7676608963.0,4222134929.6500006,97.63648418188085,6955.879833333333,134968901021.859,6373544042638.01,120.299166666667,86.7618990495639,97.6333310615015,8240900600.0,11669194172.181902,23.18021822971951,0,0,0.2832870373470396,0.2832870373470396,21.500149116666325,21.500149116666325,22.761443745452162,22.241697109071872,4.591441215295894,25.62831022604621,29.483176795420558,0.0,50409645296.43788
2009,5888592501.0,3569528097.0,2319064404.0,0.245193,1834702367.0,1834702367.0,5888592501.0,3238725875.55,61.862206890332494,5149.738583333333,136588527833.35,6972829250985.1,147.496666666667,93.109467764034,96.9223990713834,7928063700.0,19597257872.1819,23.69865548896585,0,0,0.3115689134013656,0.3115689134013656,21.33014810802234,21.33014810802234,22.496282842046668,21.99569923856652,4.140945138776256,25.640238796905837,29.573042176700692,0.0,43479979320.32319
