year,bri_flows_annual,bri_flows_cumulative,bri_intensity,post_bri_2013,years_since_announcement
2000,2000000.0,2000000.0,14.508658238524095,0,0
2001,0.0,2000000.0,14.508658238524095,0,0
2002,172120816.44385847,174120816.44385847,18.975259969352827,0,0
2003,63700.0,174184516.44385847,18.975625740383755,0,0
2004,1413700.0,175598216.44385847,18.983709087882893,0,0
2005,1298063700.0,1473661916.4438584,21.111016240391944,0,0
2006,1912943845.3291602,3386605761.773019,21.94309400683377,0,0
2007,41687810.40888374,3428293572.1819024,21.955328473799753,0,0
2008,8240900600.0,11669194172.181902,23.18021822971951,0,0
2009,7928063700.0,19597257872.1819,23.69865548896585,0,0
2010,832802351.6755667,20430060223.857468,23.7402731936354,0,0
2011,2643953302.186253,23074013526.04372,23.86197286569749,0,0
2012,9325972342.0,32399985868.04372,24.201423823603974,0,0
2013,395143700.0,32795129568.04372,24.213545852562298,0,0
2014,236563700.0,33031693268.04372,24.220733339614107,1,1
2015,1660234396.460635,34691927664.50436,24.269772864718146,1,2
2016,2300063700.0,36991991364.50436,24.33396727658108,1,3
2017,3788099414.0,40780090778.50436,24.43145982816931,1,4
2018,1227241290.285345,42007332068.7897,24.461110013083903,1,5
2019,2192425073.555712,44199757142.34541,24.51198513152052,1,6
2020,818486003.7609944,45018243146.10641,24.53033364783206,1,7
2021,637000000.0,45655243146.10641,24.544384292750316,1,8
2022,0.0,45655243146.10641,24.544384292750316,1,9
2023,0.0,45655243146.10641,24.544384292750316,1,10
2024,0.0,45655243146.10641,24.544384292750316,1,11
