year,total_kaz,minerals_narrow_kaz,minerals_broad_kaz,total_chn_exports_to_kaz,minerals_narrow_chn_exports_to_kaz,minerals_broad_chn_exports_to_kaz
2014,9799418417.0,2283764558.0,3849610031.0,,,
2015,5480137487.0,1484038463.0,2639884631.0,,,
2016,4214925896.0,1273263881.0,2346274302.0,,,
2017,5797975617.54,2109078210.56,3614953550.6299996,,,
2018,6307476192.48,1625936093.9,3195828963.57,,,
2019,8003866693.43,1628390246.2800002,3821044726.44,,,
2020,6836749155.66,2854078659.63,2854078659.63,,,
2021,6851902440.5,2866601881.29,2866601881.29,,,
2022,10461770663.88,3603762996.86,3603762996.86,,,
2023,14758685491.52,5054088848.47,7260798501.34,,,
2024,14897477202.63,5719538244.74,8802701948.2,,,
