year,exports_kazakhstan_to_china_usd,imports_kazakhstan_from_china_usd,trade_balance_usd,trade_balance_ratio,ores_metals_exports_usd,reporter,mirror_flag
2000,672548600.0,150919400.0,521629200.0,0.633454,47784100.0,WITS_panel,0
2001,646650700.0,171983900.0,474666800.0,0.579827,300868800.0,WITS_panel,0
2002,1018679900.0,313027400.0,705652500.0,0.529886,561705500.0,WITS_panel,0
2003,1653081000.0,523702900.0,1129378100.0,0.518829,777229800.0,WITS_panel,0
2004,1966911131.0,758232855.0,1208678276.0,0.443528,791435855.0,WITS_panel,0
2005,2422506647.0,1251837761.0,1170668886.0,0.318606,1224287441.0,WITS_panel,0
2006,3592514164.0,1924942799.0,1667571365.0,0.302236,1550757172.0,WITS_panel,0
2007,5635914311.0,3507275770.0,2128638541.0,0.232811,2037169815.0,WITS_panel,0
2008,7676608963.0,4565058240.0,3111550723.0,0.254177,2174683810.0,WITS_panel,0
2009,5888592501.0,3569528097.0,2319064404.0,0.245193,1834702367.0,WITS_panel,0
2010,10122070037.0,3964519584.0,6157550453.0,0.437121,3016195399.0,WITS_panel,0
2011,16291513411.0,5021097548.0,11270415863.0,0.528814,4425537809.0,WITS_panel,0
2012,16484409000.0,7497716200.0,8986692800.0,0.374725,4746079100.0,WITS_panel,0
2013,14373748042.0,8364465531.0,6009282511.0,0.264281,3362165154.0,WITS_panel,0
2014,9799418417.0,7357220265.0,2442198152.0,0.142347,2750695992.0,KAZ_Comtrade_primary,0
2015,5480137487.0,5087800821.0,392336666.0,0.037125,1524713149.0,KAZ_Comtrade_primary,0
2016,4214925896.0,3665652488.0,549273408.0,0.0697,1559461618.0,KAZ_Comtrade_primary,0
2017,5797975617.54,4694998733.36,1102976884.18,0.105116,2598718574.22,KAZ_Comtrade_primary,0
2018,6307476192.48,5384163379.5,923312812.98,0.078972,2528871318.35,KAZ_Comtrade_primary,0
2019,8003866693.43,6788625828.84,1215240864.59,0.082153,3368318993.81,KAZ_Comtrade_primary,0
2020,6836749155.66,1955285758.04,4881463397.62,0.555214,2053594633.82,KAZ_Comtrade_primary,0
2021,6851902440.5,2424023172.95,4427879267.55,0.477352,2272636399.28,KAZ_Comtrade_primary,0
2022,10461770663.88,3575000793.04,6886769870.84,0.490623,2893847971.03,KAZ_Comtrade_primary,0
2023,14758685491.52,16772250496.13,-2013565004.61,-0.06386,6039364363.84,KAZ_Comtrade_primary,0
2024,14897477202.63,,,,,KAZ_Comtrade_2024_estimate,1
