year,kz_gdp,cn_gdp,kzt_usd,kz_cpi,cn_cpi
2000,66179326672.5077,2825096197799.54,142.133333333333,43.7893049656122,80.9700222903011
2001,75113535772.261,3059936242478.58,146.735833333333,47.4475238316714,81.5522984563009
2002,82474662277.6485,3342778183071.46,153.279166666667,50.2169999848363,80.955359361403
2003,90144805869.7482,3681006926650.74,149.575833333333,53.4500799677343,81.8682148167155
2004,98798707234.4777,4053944733453.66,136.035,57.1285435425156,84.9993772047539
2005,108382181835.458,4518455387849.41,132.88,61.4588867381441,86.5093181065058
2006,119979075291.852,5091154930758.42,126.089430555555,66.8191426897729,87.9362296125358
2007,130657212992.82,5811552614974.09,122.554166666667,74.0669056526254,92.1719134940607
2008,134968901021.859,6373544042638.01,120.299166666667,86.7618990495639,97.6333310615015
2009,136588527833.35,6972829250985.1,147.496666666667,93.109467764034,96.9223990713834
2010,146559490369.689,7711689202853.29,147.355,100.0,100.0
2011,157404892659.159,8441318020902.42,146.620833333333,108.452904661768,105.553898922574
2012,164960327499.374,9104482675356.36,149.1125,114.087774540991,108.318908982373
2013,174857947143.911,9812695262900.89,152.129166666667,120.867826977188,111.158001765191
2014,182201980933.864,10544908798424.0,179.191666666667,129.146608074122,113.294060199837
2015,184388404706.042,11280814787468.9,221.728333333333,137.771387734836,114.922122819495
2016,186416677156.152,12045152668727.3,342.16,157.556866561297,117.220567369673
2017,194059760924.352,12875216222853.4,326.001022727273,169.283293508518,119.088050428681
2018,202016211108.857,13745158275136.7,344.705833333333,179.717344348263,121.558877866113
2019,211106940610.612,14579283528148.4,382.747310606061,189.302678517188,125.083154382074
2020,205829267103.2,14920466234565.3,412.953333333333,202.02032502464,128.109443605623
2021,214679925583.069,16199162892908.6,425.9075,218.265731563045,129.366216637456
2022,221549683201.099,16706875253648.5,460.165,251.06640983023,131.919356668534
2023,232848717043.771,17611526369126.6,456.165,287.540232612332,132.229151902431
2024,244491152895.888,18488114837769.3,468.9625,312.529841144883,132.517581947783
