year,product,product_name,indicator,indicator_name,value_usd_thousand
1995,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),16880.488
1996,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),17635.59
1997,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),63574.592
1998,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),104405.196
1999,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),121522.095
2000,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),47784.1
2001,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),300868.8
2002,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),561705.5
2003,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),777229.8
2004,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),791435.855
2005,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1224287.441
2006,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1550757.172
2007,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2037169.815
2008,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2174683.81
2009,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1834702.367
2010,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),3016195.399
2011,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),4425537.809
2012,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),4746079.1
2013,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),3362165.154
2014,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2750695.992
2015,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1524713.149
2016,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1559461.618
2017,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2598718.57422
2018,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2528871.31835
2019,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),3368318.99381
2020,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2053594.63382
2021,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2272636.39928
2022,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2893847.97103
2023,OresMtls,Ores and Metals,XPRT-TRD-VL,Export Trade Value (US$ Thousand),6039364.36384
