year,product,product_name,indicator,indicator_name,value_usd_thousand
1995,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),34665.884
1996,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),35818.194
1997,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),46586.312
1998,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),59285.731
1999,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),82710.817
2000,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),150919.4
2001,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),171983.9
2002,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),313027.4
2003,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),523702.9
2004,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),758232.855
2005,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),1251837.761
2006,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),1924942.799
2007,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),3507275.77
2008,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),4565058.24
2009,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),3569528.097
2010,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),3964519.584
2011,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),5021097.548
2012,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),7497716.2
2013,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),8364465.531
2014,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),7357220.265
2015,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),5087800.821
2016,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),3665652.488
2017,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),4694998.73336
2018,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),5384163.3795
2019,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),6788625.82884
2020,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),1955285.75804
2021,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),2424023.17295
2022,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),3575000.79304
2023,Total,All Products,MPRT-TRD-VL,Import Trade Value (US$ Thousand),16772250.49613
1995,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),283928.93
1996,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),458898.836
1997,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),434846.555
1998,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),384620.866
1999,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),478761.95
2000,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),672548.6
2001,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),646650.7
2002,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1018679.9
2003,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1653081.0
2004,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),1966911.131
2005,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),2422506.647
2006,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),3592514.164
2007,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),5635914.311
2008,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),7676608.963
2009,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),5888592.501
2010,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),10122070.037
2011,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),16291513.411
2012,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),16484409.0
2013,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),14373748.042
2014,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),9799418.417
2015,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),5480137.487
2016,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),4214925.896
2017,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),5797975.61754
2018,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),6307476.19248
2019,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),8003866.69343
2020,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),6836749.15566
2021,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),6851902.4405
2022,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),10461770.66388
2023,Total,All Products,XPRT-TRD-VL,Export Trade Value (US$ Thousand),14758685.49152
