year,gdp_kazakhstan_current_usd
2000,18291990662.0356
2001,22152689179.8815
2002,24636598527.4437
2003,30833692900.1091
2004,43151647002.6096
2005,57123671733.8952
2006,81003864630.018
2007,104849915058.376
2008,133441648851.982
2009,115308686941.38
2010,148047348240.643
2011,192626464617.071
2012,207998568865.789
2013,236634603409.089
2014,221415613595.469
2015,184388404706.042
2016,137278320084.171
2017,166805788827.233
2018,179339977690.485
2019,181667184854.501
2020,171082365861.423
2021,197112255360.612
2022,225496328925.494
2023,261840101059.923
