year,exports_usd_million,imports_usd_million,trade_balance_usd_million,ores_metals_exports_usd_million,ores_metals_export_share_pct
2000,672.55,150.92,521.63,47.78,7.1
2001,646.65,171.98,474.67,300.87,46.53
2002,1018.68,313.03,705.65,561.71,55.14
2003,1653.08,523.7,1129.38,777.23,47.02
2004,1966.91,758.23,1208.68,791.44,40.24
2005,2422.51,1251.84,1170.67,1224.29,50.54
2006,3592.51,1924.94,1667.57,1550.76,43.17
2007,5635.91,3507.28,2128.64,2037.17,36.15
2008,7676.61,4565.06,3111.55,2174.68,28.33
2009,5888.59,3569.53,2319.06,1834.7,31.16
2010,10122.07,3964.52,6157.55,3016.2,29.8
2011,16291.51,5021.1,11270.42,4425.54,27.16
2012,16484.41,7497.72,8986.69,4746.08,28.79
2013,14373.75,8364.47,6009.28,3362.17,23.39
2014,9799.42,7357.22,2442.2,2750.7,28.07
2015,5480.14,5087.8,392.34,1524.71,27.82
2016,4214.93,3665.65,549.27,1559.46,37.0
2017,5797.98,4695.0,1102.98,2598.72,44.82
2018,6307.48,5384.16,923.31,2528.87,40.09
2019,8003.87,6788.63,1215.24,3368.32,42.08
2020,6836.75,1955.29,4881.46,2053.59,30.04
2021,6851.9,2424.02,4427.88,2272.64,33.17
2022,10461.77,3575.0,6886.77,2893.85,27.66
2023,14758.69,16772.25,-2013.57,6039.36,40.92
