year,event_time,china_balance_B,placebo_balance_B,gap_B,status
2000,-13,0.5216292,,,descriptive_china_only_no_placebo
2001,-12,0.4746668,,,descriptive_china_only_no_placebo
2002,-11,0.7056525,,,descriptive_china_only_no_placebo
2003,-10,1.1293781,,,descriptive_china_only_no_placebo
2004,-9,1.208678276,,,descriptive_china_only_no_placebo
2005,-8,1.170668886,,,descriptive_china_only_no_placebo
2006,-7,1.667571365,,,descriptive_china_only_no_placebo
2007,-6,2.128638541,,,descriptive_china_only_no_placebo
2008,-5,3.111550723,,,descriptive_china_only_no_placebo
2009,-4,2.319064404,,,descriptive_china_only_no_placebo
2010,-3,6.157550453,,,descriptive_china_only_no_placebo
2011,-2,11.270415863,,,descriptive_china_only_no_placebo
2012,-1,8.9866928,,,descriptive_china_only_no_placebo
2013,0,6.009282511,,,descriptive_china_only_no_placebo
2014,1,2.442198152,,,descriptive_china_only_no_placebo
2015,2,0.392336666,,,descriptive_china_only_no_placebo
2016,3,0.549273408,,,descriptive_china_only_no_placebo
2017,4,1.10297688418,,,descriptive_china_only_no_placebo
2018,5,0.92331281298,,,descriptive_china_only_no_placebo
2019,6,1.21524086459,,,descriptive_china_only_no_placebo
2020,7,4.88146339762,,,descriptive_china_only_no_placebo
2021,8,4.42787926755,,,descriptive_china_only_no_placebo
2022,9,6.88676987084,,,descriptive_china_only_no_placebo
2023,10,-2.0135650046099998,,,descriptive_china_only_no_placebo
