year,energy_exports_to_china_usd,note
2000,369901730.00000006,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2001,355657885.0,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2002,560273945.0,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2003,909194550.0000001,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2004,1081801122.0500002,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2005,1332378655.8500001,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2006,1975882790.2,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2007,3099752871.05,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2008,4222134929.6500006,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2009,3238725875.55,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2010,5567138520.35,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2011,8960332376.050001,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2012,9066424950.0,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2013,7905561423.1,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2014,5389680129.35,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2015,3014075617.8500004,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2016,2318209242.8,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2017,3188886589.6470003,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2018,3469111905.864,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2019,4402126681.3865,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2020,3760212035.6130004,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2021,3768546342.275,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2022,5753973865.134,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2023,8117277020.336,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
2024,8193612461.4465,Bilateral HS-27 energy exports estimated at 55% of total bilateral exports.
