Year,Cooks_D,Leverage,DFFITS,Studentized_Resid,Flag_Cooks,Flag_Leverage,Flag_Any
2000,0.2195,0.6573,-1.3213,-0.9541,True,False,True
2001,0.0011,0.2421,-0.0912,-0.1613,False,False,False
2002,0.0,0.2004,0.01,0.02,False,False,False
2003,0.0031,0.1862,0.1538,0.3215,False,False,False
2004,0.012,0.1703,0.3041,0.671,False,False,False
2005,0.0,0.182,0.0125,0.0265,False,False,False
2006,0.0003,0.2275,0.0434,0.0799,False,False,False
2007,0.0014,0.1796,-0.1012,-0.2162,False,False,False
2008,0.0123,0.2497,-0.3062,-0.5307,False,False,False
2009,0.0023,0.4478,0.1324,0.147,False,False,False
2010,0.0071,0.1998,0.2319,0.4641,False,False,False
2011,0.1029,0.4177,0.9117,1.0764,False,False,False
2012,0.1409,0.4904,-1.0676,-1.0884,False,False,False
2013,0.0059,0.3439,-0.2101,-0.2902,False,False,False
2014,0.5991,0.7149,2.2589,1.4264,True,True,True
2015,0.0002,0.4162,0.0385,0.0456,False,False,False
2016,0.0596,0.302,-0.6929,-1.0534,False,False,False
2017,0.0013,0.1502,-0.0996,-0.2368,False,False,False
2018,0.0483,0.2314,-0.6273,-1.1432,False,False,False
2019,0.0493,0.2997,-0.6263,-0.9574,False,False,False
2020,0.2748,0.3182,1.7091,2.5019,True,False,True
2021,0.0238,0.1921,0.4331,0.8883,False,False,False
2022,0.5525,0.4842,2.423,2.5006,True,False,True
2023,3.8982,0.6966,-13.9099,-9.1798,True,True,True
