Excluded_Year,Interaction_Coef,Interaction_SE,Interaction_Pval,Minerals_Coef,PostBRI_Coef,R_squared
2000,-3.084,0.9474,0.0011,2.2672,4.6801,0.7723
2001,-3.2286,1.0438,0.002,2.4739,4.9863,0.7587
2002,-3.218,1.0393,0.002,2.4595,4.9164,0.7594
2003,-3.1912,1.0252,0.0019,2.4144,4.8045,0.7629
2004,-3.2652,1.0387,0.0017,2.4842,5.074,0.7685
2005,-3.2206,1.0419,0.002,2.4632,4.9262,0.7614
2006,-3.223,1.0415,0.002,2.4669,4.9335,0.7631
2007,-3.2101,1.0473,0.0022,2.456,4.8837,0.7647
2008,-3.1286,0.9762,0.0014,2.2907,4.5219,0.7687
2009,-3.3091,1.1667,0.0046,2.5479,5.3931,0.7645
2010,-3.2629,1.0533,0.0019,2.4777,5.3358,0.755
2011,-2.6383,1.0446,0.0115,1.8511,2.9745,0.6719
2012,-3.8811,1.0035,0.0001,3.2064,7.0658,0.7345
2013,-3.1449,1.0504,0.0028,2.3499,4.3803,0.7541
2014,-3.7294,1.1679,0.0014,2.5624,2.1245,0.7925
2015,-3.2248,1.0978,0.0033,2.4601,4.8989,0.7578
2016,-3.6884,1.1776,0.0017,2.6678,6.202,0.7753
2017,-3.2297,1.0854,0.0029,2.4836,5.0184,0.7621
2018,-3.4084,1.1237,0.0024,2.2931,5.2253,0.7796
2019,-3.4878,1.2306,0.0046,2.3604,5.1606,0.7753
2020,-3.2662,0.7208,0.0,2.09,5.5268,0.8304
2021,-3.2778,0.9255,0.0004,2.5805,5.463,0.7735
2022,-3.2906,0.7718,0.0,2.8678,5.2089,0.8198
2023,-0.4071,0.2883,0.1579,3.0269,0.4941,0.96
