start_year,minerals_definition,outcome,sample,estimator,interaction_coef,std_error,p_value,n_obs,status,note
2013,narrow,level,full,OLS,-2.670295,0.968906,0.005851,24.0,ok,
2013,narrow,level,full,ARDL_long_run,1.014776,1.563928,0.531045,24.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_narrow_B': [0, 1]}"
2013,narrow,level,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,level,ex_2009,OLS,-2.995912,1.171112,0.010522,23.0,ok,
2013,narrow,level,ex_2009,ARDL_long_run,-0.493453,0.596539,0.427426,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_narrow_B': [0, 1]}"
2013,narrow,level,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,level,ex_2020,OLS,-2.74369,0.717973,0.000133,23.0,ok,
2013,narrow,level,ex_2020,ARDL_long_run,0.540511,1.806302,0.771555,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_narrow_B': [0, 1]}"
2013,narrow,level,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,level,ex_both,OLS,-3.333144,0.964212,0.000547,22.0,ok,
2013,narrow,level,ex_both,ARDL_long_run,-2.977865,0.536586,9.4e-05,22.0,ok,"AIC lags y=None; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0], 'log_cn_gdp': [0], 'post_2013': [0, 1], 'post_2013_x_minerals_narrow_B': [0]}"
2013,narrow,level,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,ratio,full,OLS,-0.074718,0.076363,0.327842,24.0,ok,
2013,narrow,ratio,full,ARDL_long_run,0.449736,0.25572,0.102128,24.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_narrow_B': [0]}"
2013,narrow,ratio,full,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,ratio,ex_2009,OLS,-0.052996,0.090393,0.557683,23.0,ok,
2013,narrow,ratio,ex_2009,ARDL_long_run,,,,,failed,interaction not selected by AIC ARDL
2013,narrow,ratio,ex_2009,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,ratio,ex_2020,OLS,-0.081142,0.052289,0.120714,23.0,ok,
2013,narrow,ratio,ex_2020,ARDL_long_run,0.071131,0.031827,0.055863,23.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2013_x_minerals_narrow_B': [0, 1]}"
2013,narrow,ratio,ex_2020,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,narrow,ratio,ex_both,OLS,-0.081463,0.0708,0.249896,22.0,ok,
2013,narrow,ratio,ex_both,ARDL_long_run,0.298809,0.065809,0.001405,22.0,ok,"AIC lags y=[1]; x={'minerals_narrow_B': [0, 1], 'brent_annual_mean': [0], 'log_kz_gdp': [0, 1], 'log_cn_gdp': [0, 1], 'post_2013': [0], 'post_2013_x_minerals_narrow_B': [0, 1]}"
2013,narrow,ratio,ex_both,DiD,,,,,skipped_data_unavailable,No donor/placebo annual bilateral panel in local files; see did_placebo_status.csv.
2013,broad,level,full,OLS,-3.472996,0.555731,0.0,24.0,ok,
2013,broad,level,full,ARDL_long_run,-6.065056,0.866807,0.000113,24.0,ok,"AIC lags y=[1]; x={'minerals_broad_B': [0, 1], 'brent_annual_mean': [0, 1], 'kzt_usd': [0, 1], 'log_kz_gdp': [0], 'log_cn_gdp': [0, 1], 'post_2013': [0, 1], 'post_2013_x_minerals_broad_B': [0, 1]}"
