year,actual_balance_ratio,synthetic_balance_ratio,gap,period
2000,0.6335,0.6226,0.0109,Pre-BRI
2001,0.5798,0.628,-0.0482,Pre-BRI
2002,0.5299,0.5316,-0.0017,Pre-BRI
2003,0.5188,0.4603,0.0585,Pre-BRI
2004,0.4435,0.408,0.0355,Pre-BRI
2005,0.3186,0.3495,-0.0309,Pre-BRI
2006,0.3022,0.2659,0.0364,Pre-BRI
2007,0.2328,0.2775,-0.0447,Pre-BRI
2008,0.2542,0.3008,-0.0466,Pre-BRI
2009,0.2452,0.3412,-0.096,Pre-BRI
2010,0.4371,0.3385,0.0986,Pre-BRI
2011,0.5288,0.4241,0.1047,Pre-BRI
2012,0.3747,0.4512,-0.0765,Pre-BRI
2013,0.2643,0.3395,-0.0752,Post-BRI
2014,0.1423,0.2652,-0.1228,Post-BRI
2015,0.0371,0.1924,-0.1552,Post-BRI
2016,0.0697,0.1604,-0.0907,Post-BRI
2017,0.1051,0.1644,-0.0593,Post-BRI
2018,0.079,0.1734,-0.0944,Post-BRI
2019,0.0822,0.1154,-0.0333,Post-BRI
2020,0.5552,0.1123,0.4429,Post-BRI
2021,0.4774,0.3612,0.1161,Post-BRI
2022,0.4906,0.2867,0.204,Post-BRI
2023,-0.0639,0.2188,-0.2826,Post-BRI
