year,oil_energy_exports_to_china_usd,hs_codes_searched,data_source_searched,result,note
2000,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2001,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2002,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2003,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2004,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2005,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2006,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2007,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2008,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2009,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2010,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2011,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2012,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2013,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2014,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2015,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2016,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2017,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2018,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2019,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2020,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2021,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2022,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
2023,,"HS2709,HS2710,HS2711,HS2701",comtrade_kaz_reporter.csv,NOT_AVAILABLE,"comtrade_kaz_reporter.csv contains only HS 26,28,72,74,78,79,81; no HS-27 rows found. oil_exports column in clean_panel_annual.csv empty for all years."
